Column1;Column2;Column3;Column4;Column5;Column6
;logFC;logCPM;LR;PValue;FDR
PITA_07574;10.0036509697789;2.51608328700488;90.9060621687719;1.506573824682e-21;3.87837299687887e-17
PITA_49717;11.3371518133626;3.8355042233169;61.8400296172645;3.72523853412741e-15;4.7949407792021e-11
PITA_24873;3.21089405634316;4.05693796300645;41.3592814258098;1.2666860028191e-10;4.65832825293887e-07
PITA_51260;2.46072657196215;4.61270716476859;36.8339678646028;1.28629496473839e-09;3.67923236414004e-06
PITA_33903;2.3170267091663;8.49525794262041;35.1210134563955;3.09839231242626e-09;7.97619132987892e-06
PITA_34569;2.25087496864317;5.82337634340548;33.4238632331459;7.41090465411787e-09;1.50213572993277e-05
PITA_08348;2.28530129683112;5.99905811139384;32.9965734515966;9.23214397565013e-09;1.57855541756387e-05
PITA_05742;2.05684232349368;6.54648594464418;32.8783133541122;9.81116679525383e-09;1.57855541756387e-05
PITA_15382;1.89793106623954;6.56021287159303;29.8690546880322;4.62231696730723e-08;5.94961528446951e-05
PITA_23405;2.0982401091989;5.27400451613684;29.506556905429;5.57278518669297e-08;6.83143852671605e-05
PITA_25485;5.25392439976603;1.42999165938261;29.2970494576875;6.20901622802722e-08;6.94950890252629e-05
PITA_07786;6.16717773074853;0.689689883539517;28.336886013372;1.01935010992887e-07;0.000109338041166246
PITA_38580;4.36711801515115;2.95653662464761;27.2688315648809;1.77042391324014e-07;0.000175292395379003
PITA_22168;2.01966804614445;5.26805582832267;27.0759521180517;1.95616309231587e-07;0.000186509283279583
PITA_00280;2.74542556601861;2.96547548277637;26.8255364544364;2.22675342570862e-07;0.00020472611942149
PITA_08264;1.83194402919051;8.60104686438158;26.6230864405022;2.47271324829006e-07;0.000219500197071486
PITA_08051;2.0028948329212;6.37868020897093;26.5425071725474;2.57802668182218e-07;0.000221220469567161
PITA_06468;4.17893700253518;2.26827260643832;26.4223859920642;2.74342491973267e-07;0.000227819315189284
PITA_17848;4.921534548046;0.819416584529081;26.0234404237971;3.37297137789742e-07;0.000271345006816292
PITA_02034;2.13245987110442;4.80729793961513;25.1212907572826;5.38351804025164e-07;0.000419963348212721
PITA_44061;3.7658869534862;2.77769631705156;24.6542300805997;6.85940260550752e-07;0.000483662414922802
PITA_47823;2.38779534392434;5.64107031863362;24.5833676641573;7.11633154081815e-07;0.000483662414922802
PITA_22824;4.15683719885411;1.33981834045106;24.5771087784327;7.13948326421414e-07;0.000483662414922802
PITA_46719;1.77466860649428;6.29423813590205;24.0955119198776;9.16737099821369e-07;0.000589989079017538
PITA_20548;3.230071667268;2.11906021591494;23.9417726929292;9.92937105301009e-07;0.000623443412238143
PITA_50562;1.65148021646916;6.51089390694379;23.5535102047364;1.2148758983665e-06;0.000744632148848779
PITA_38653;3.56422869486385;1.55561337611416;23.3982244437038;1.31700041828284e-06;0.00078845445971756
PITA_43768;1.56743562965608;7.68852015182511;22.6811257623185;1.9123711129928e-06;0.00111886749004031
PITA_45350;4.50605566386629;2.07776562273637;22.4339609145938;2.17494106841179e-06;0.0011964870663383
PITA_48355;1.68319114148106;5.52986240000207;22.3713035101849;2.24706553574079e-06;0.0011964870663383
PITA_05700;6.83744842644759;-0.336021470837306;22.3476617669885;2.27489863010331e-06;0.0011964870663383
PITA_18079;1.67242143684031;6.09096655741856;22.3115242927701;2.31811262449467e-06;0.0011964870663383
PITA_20058;2.19124364000047;3.81407305275166;22.3006352689379;2.33129471519251e-06;0.0011964870663383
PITA_14382;2.56920603744831;5.15474376126515;22.2687037444295;2.37038575081589e-06;0.0011964870663383
PITA_08023;1.72314895729892;5.80693411620463;22.0046811783207;2.71986289330548e-06;0.00134648904735314
PITA_09058;4.46091892247202;1.66728664683244;21.4705906631227;3.59297013451291e-06;0.00174516660703332
PITA_48756;3.10776621466785;1.94751180257375;21.416186144166;3.69637487098596e-06;0.00174807842208562
PITA_09664;2.24734040273035;3.33210785234353;21.3963706134523;3.73477501513845e-06;0.00174807842208562
PITA_34222;4.32904821687982;1.63257459052788;21.1262540306172;4.29996470095819e-06;0.00197667841601369
PITA_34956;1.49355146244727;7.10780233892968;21.0321058943063;4.51651228403719e-06;0.0020397995741749
PITA_35858;2.30013365131333;3.5719136843452;20.9779243696053;4.64606106832369e-06;0.00204043815716957
PITA_36186;2.36422146961611;2.91800558465706;20.9654343561139;4.67644995816356e-06;0.00204043815716957
PITA_23549;3.8909737131171;3.03960047308686;20.8528966164596;4.95941675173112e-06;0.00212783775733024
