Column1;Column2;Column3;Column4;Column5;Column6;Column7
;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_30766;57.9223363901928;55.1785732410973;63.8208940565122;60.7999050725169;57.6362609044366;65.201156612463
PITA_38321;1.96151338373163;0.531585484018278;1.68987362903386;3.06251373698604;3.03348741602298;2.40870514874067
PITA_10355;8.07681981536553;6.48534290502299;7.82974781452356;6.21510140741284;6.7519558614705;6.39552746389764
PITA_26211;23.7689268852186;12.651734519635;6.64683627419986;8.01658007622816;23.5829182987593;6.47858626213008
PITA_48713;15.461340789414;1.70107354885849;8.33670990323372;18.2850084884755;21.3322663449358;1.07976437702168
PITA_09395;26.0765896896087;12.2264661324204;30.1360797177705;27.9229193666374;22.6043739710099;14.9505836818386
PITA_44655;14.4228925274384;21.4760535543384;20.8981038790521;13.4210160826741;22.0172473743603;16.6117596464874
PITA_51251;14.999808228536;15.5222961333337;14.9272170564658;17.0239734203047;19.1794688238872;15.9472892606279
PITA_46210;103.844826197557;103.23390099635;116.206976556562;70.9782595513234;95.7016352538862;72.3442132604525
PITA_42659;2.53842908482917;1.9137077424658;4.22468407258466;2.52207013634144;1.66352535717389;3.1562343328326
PITA_02326;2.42304594460966;4.35900096894988;3.37974725806772;1.53125686849302;2.5442152521483;0.498352789394621
PITA_43827;8.76911865668257;10.3127583899546;5.57658297581175;4.23347487171599;5.87126596649608;8.97035020910318
PITA_02391;43.4994438627543;23.1771271031969;30.1924088387383;41.524083316193;40.9031528999227;24.2531690838716
PITA_13448;9.92295005887765;14.2464909716899;10.0829126532354;10.1783544788065;11.6446775002172;9.80093819142755
PITA_44862;86.0758226037526;103.446535189957;90.4645682742794;92.0555599764626;107.542021619653;320.274725984277
PITA_35906;57.4608038293148;72.9335284073077;56.3854500887632;48.6399240580135;41.7838427948971;59.3039819379599
PITA_13044;1.73074710329261;0.106317096803656;0.394303846774568;1.80147866881532;1.36996205884909;0.332235192929748
PITA_43485;5.30762445009735;4.04004967853891;33.5721560968061;4.23347487171599;5.96912039927102;3.1562343328326
PITA_40823;53.9993096227295;91.6453374447511;71.5379836291002;88.3625287053912;93.8424010311624;102.494557018827
PITA_37267;38.3072025528765;26.0476887168956;17.349369258081;24.7703316962106;26.9099690131071;54.9849244298732
PITA_39080;19.0382181362187;20.7318338767128;18.7575972822759;23.2390748277176;15.9502725423144;33.1404604947423
PITA_31599;7.96143667514602;4.46531806575353;7.49177308871679;6.66547107461667;7.82835462199478;5.31576308687596
PITA_28792;12.4613791437068;4.7842693561645;10.7025329838811;7.83643220934662;8.41548121864439;10.2162321825897
PITA_29922;3.69226048702424;4.99690354977181;3.43607637903552;0.810665400966892;3.03348741602298;2.2425875522758
PITA_19673;11.3075477415117;6.06007451780837;8.44936814516931;13.060720348911;7.92620905476971;12.541878533098
PITA_34382;11.3075477415117;19.9876141990873;13.2936725483997;13.060720348911;22.3108106726851;13.123290120725
PITA_22565;1.26921454241458;0.212634193607311;1.29556978225929;1.08088720128919;0.978544327749347;1.49505836818386
PITA_30428;2.19227966417064;0.212634193607311;0.844936814516931;2.52207013634144;9.49187997916867;0
PITA_47217;41.8840798996812;91.8579716383584;56.3854500887632;40.3531221814631;50.982159475741;40.6988111338941
PITA_05446;1.03844826197557;2.33897612968042;1.63354450806607;2.16177440257838;1.85923422272376;1.91035235934605
PITA_32599;5.42300759031686;3.8274154849316;7.09746924194222;4.59377060547906;2.93563298324804;2.65788154343798
