Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_23696;93;83;187;102;82;159
PITA_41665;1;0;0;0;0;0
PITA_50263;0;0;0;0;0;0
PITA_07336;1;0;1;3;0;0
PITA_07974;0;0;0;0;0;0
PITA_36639;100;68;144;87;82;59
PITA_25032;1;0;1;1;1;0
PITA_35194;75;35;167;93;58;69
PITA_31507;116;90;267;142;87;177
PITA_18149;9;11;34;12;0;6
PITA_31046;758;734;1751;849;867;1197
PITA_11153;564;590;1127;755;602;740
PITA_12590;3;0;4;0;1;3
PITA_16034;0;0;0;0;0;0
PITA_01592;0;0;0;0;0;0
PITA_15909;0;0;0;0;0;0
PITA_27301;35;49;64;98;55;67
PITA_35709;0;2;7;1;4;1
PITA_27726;0;0;0;0;0;0
PITA_10229;1532;1881;2632;1991;1816;2191
PITA_33084;85;127;166;116;96;104
PITA_36581;0;0;0;0;0;0
PITA_28385;20;6;17;16;19;9
PITA_08687;112;186;177;211;200;184
PITA_26111;3;0;0;6;5;0
PITA_48269;0;0;0;0;0;0
PITA_18670;0;0;0;7;14;0
PITA_46875;0;1;1;0;1;1
PITA_24175;0;0;0;0;0;0
PITA_22468;3;8;9;21;29;40
PITA_05361;34;22;71;33;30;60
PITA_08664;0;1;0;0;0;0
PITA_19139;0;0;0;1;0;0
PITA_49584;13;14;19;13;17;62
PITA_40126;0;0;0;0;0;0
PITA_19497;745;943;1481;736;1042;758
PITA_09159;271;299;493;439;280;391
PITA_02116;0;0;0;0;0;0
PITA_31898;1;0;0;0;0;0
PITA_15688;3;7;0;4;3;3
PITA_08831;0;0;0;0;0;0
PITA_29843;167;358;631;183;268;0
PITA_51105;46;8;58;51;9;20
PITA_25417;0;0;0;0;0;0
PITA_36935;0;0;0;0;0;0
PITA_16689;0;0;2;1;1;0
PITA_02836;83;69;100;110;64;36
PITA_13716;26;57;70;37;48;30
PITA_13794;2;0;0;1;0;0
PITA_32117;5;2;20;6;5;8
PITA_13742;34;15;61;26;15;19
PITA_22832;33;31;84;45;44;35
PITA_25062;2;4;0;1;1;1
PITA_08401;0;0;0;0;0;0
PITA_18404;0;0;0;0;0;0
